year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,annual_rainfall_mm,relative_humidity_%,wind_avg_speed_ms,wind_dominant_direction,risk_forest_fire
1999-01-01,Alt Camp,25.0,117.9,150.1,268.0,100 > 500 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Alt Empordà,50.0,35.3,168.6,203.8,100 > 500 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Alt Penedès,39.0,33.7,13.8,47.5,10 > 100 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Alt Urgell,14.0,2.3,38.3,40.6,10 > 100 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Alta Ribagorça,3.0,10.0,18.0,28.0,10 > 100 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Anoia,34.0,10.2,2.2,12.4,10 > 100 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Bages,33.0,15.4,8.1,23.5,10 > 100 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Baix Camp,15.0,0.2,6.6,6.7,0 <10 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Baix Ebre,5.0,26.3,79.4,105.7,100 > 500 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Baix Empordà,35.0,8.6,1.7,10.3,10 > 100 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Baix Llobregat,42.0,12.2,7.4,19.6,10 > 100 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Baix Penedès,10.0,14.7,4.7,19.4,10 > 100 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Barcelonès,23.0,1.5,11.1,12.6,10 > 100 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Berguedà,21.0,3.3,11.7,15.1,10 > 100 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Cerdanya,5.0,0.0,22.7,22.7,10 > 100 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Conca de Barberà,27.0,8.2,18.8,26.9,10 > 100 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Garraf,13.0,15.1,0.0,15.1,10 > 100 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Garrigues,17.0,4.1,2.6,6.7,0 <10 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Garrotxa,11.0,0.7,1.9,2.6,0 <10 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Gironès,32.0,3.2,2.7,5.9,0 <10 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Maresme,37.0,2.7,4.6,7.3,0 <10 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Montsià,9.0,0.6,8.7,9.3,0 <10 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Noguera,31.0,7.1,13.5,20.6,10 > 100 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Osona,19.0,4.1,1.4,5.5,0 <10 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Pallars Jussà,18.0,11.1,57.1,68.2,10 > 100 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Pallars Sobirà,14.0,3.3,31.7,35.0,10 > 100 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Pla d'Urgell,1.0,0.0,0.3,0.3,0 <10 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Pla de l'Estany,9.0,3.4,0.2,3.6,0 <10 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Priorat,9.0,37.9,11.8,49.7,10 > 100 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Ribera d'Ebre,16.0,18.8,16.5,35.4,10 > 100 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Ripollès,12.0,9.2,0.7,9.9,0 <10 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Segarra,2.0,0.1,1.8,1.9,0 <10 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Segrià,11.0,7.0,2.4,9.4,0 <10 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Selva,47.0,7.2,0.3,7.5,0 <10 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Solsonès,11.0,5.7,2.6,8.3,0 <10 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Tarragonès,8.0,0.9,9.6,10.5,10 > 100 ha,,,,,,,,,,,,,,,,,High
1999-01-01,Terra Alta,15.0,10.6,2.9,13.5,10 > 100 ha,,,,,,,,,,,,,,,,,Very high
1999-01-01,Urgell,4.0,1.5,1.2,2.7,0 <10 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Aran,3.0,0.1,3.5,3.6,0 <10 ha,,,,,,,,,,,,,,,,,Low
1999-01-01,Vallès Occidental,72.0,17.5,19.9,37.4,10 > 100 ha,,,,,,,,,,,,,,,,,Moderate
1999-01-01,Vallès Oriental,39.0,18.8,3.7,22.5,10 > 100 ha,,,,,,,,,,,,,,,,,Moderate
2000-01-01,Alt Camp,17.0,233.1,54.8,287.9,100 > 500 ha,,,,,,,,16.0,21.3,11.5,36.9,-0.6,461.0,63.0,1.4,W,Moderate
2000-01-01,Alt Empordà,60.0,1083.6,4905.0,5988.6,>1000 ha,,,,,,,,17.0,22.5,11.6,36.7,-1.8,542.0,63.0,3.7,NE,Very high
2000-01-01,Alt Penedès,29.0,262.7,24.8,287.5,100 > 500 ha,,,,,,,,17.0,21.6,12.4,37.9,0.2,338.0,67.0,3.7,NW,High
2000-01-01,Alt Urgell,12.0,0.4,23.6,24.0,10 > 100 ha,,,,,,,,12.0,19.3,5.6,36.8,-8.4,555.0,63.0,1.8,SW,Low
2000-01-01,Alta Ribagorça,7.0,21.2,243.9,265.1,100 > 500 ha,,,,,,,,10.0,18.8,3.1,35.0,-10.5,942.0,72.0,1.3,S,Low
2000-01-01,Anoia,33.0,12.9,2.9,15.8,10 > 100 ha,,,,,,,,16.0,22.6,10.9,40.2,-2.5,339.0,68.0,2.5,NW,Very high
2000-01-01,Bages,35.0,10.3,2.1,12.3,10 > 100 ha,,,,,,,,14.0,21.3,7.3,38.5,-7.6,601.0,74.0,1.2,S,Very high
2000-01-01,Baix Camp,27.0,306.1,101.4,407.5,100 > 500 ha,,,,,,,,16.0,21.3,11.8,36.1,-0.5,549.0,73.0,3.7,NW,Very high
2000-01-01,Baix Ebre,11.0,3.1,4.5,7.6,0 <10 ha,,,,,,,,17.0,22.2,13.2,36.5,-0.3,502.0,69.0,4.9,NW,Low
2000-01-01,Baix Empordà,44.0,6.9,0.5,7.4,0 <10 ha,,,,,,,,15.0,17.8,12.7,29.0,0.5,472.0,73.0,2.9,SW,High
