year,subregion,fires,affected_wood_ha,affected_scrub_ha,affected_total_ha,affected_size
1999-01-01,Alt Camp,25.0,117.9,150.1,268.0,100 > 500 ha
1999-01-01,Alt Empordà,50.0,35.3,168.6,203.8,100 > 500 ha
1999-01-01,Alt Penedès,39.0,33.7,13.8,47.5,10 > 100 ha
1999-01-01,Alt Urgell,14.0,2.3,38.3,40.6,10 > 100 ha
1999-01-01,Alta Ribagorça,3.0,10.0,18.0,28.0,10 > 100 ha
1999-01-01,Anoia,34.0,10.2,2.2,12.4,10 > 100 ha
1999-01-01,Bages,33.0,15.4,8.1,23.5,10 > 100 ha
1999-01-01,Baix Camp,15.0,0.2,6.6,6.7,0 <10 ha
1999-01-01,Baix Ebre,5.0,26.3,79.4,105.7,100 > 500 ha
1999-01-01,Baix Empordà,35.0,8.6,1.7,10.3,10 > 100 ha
1999-01-01,Baix Llobregat,42.0,12.2,7.4,19.6,10 > 100 ha
1999-01-01,Baix Penedès,10.0,14.7,4.7,19.4,10 > 100 ha
1999-01-01,Barcelonès,23.0,1.5,11.1,12.6,10 > 100 ha
1999-01-01,Berguedà,21.0,3.3,11.7,15.1,10 > 100 ha
1999-01-01,Cerdanya,5.0,0.0,22.7,22.7,10 > 100 ha
1999-01-01,Conca de Barberà,27.0,8.2,18.8,26.9,10 > 100 ha
1999-01-01,Garraf,13.0,15.1,0.0,15.1,10 > 100 ha
1999-01-01,Garrigues,17.0,4.1,2.6,6.7,0 <10 ha
1999-01-01,Garrotxa,11.0,0.7,1.9,2.6,0 <10 ha
1999-01-01,Gironès,32.0,3.2,2.7,5.9,0 <10 ha
1999-01-01,Maresme,37.0,2.7,4.6,7.3,0 <10 ha
1999-01-01,Montsià,9.0,0.6,8.7,9.3,0 <10 ha
1999-01-01,Noguera,31.0,7.1,13.5,20.6,10 > 100 ha
1999-01-01,Osona,19.0,4.1,1.4,5.5,0 <10 ha
1999-01-01,Pallars Jussà,18.0,11.1,57.1,68.2,10 > 100 ha
1999-01-01,Pallars Sobirà,14.0,3.3,31.7,35.0,10 > 100 ha
1999-01-01,Pla d'Urgell,1.0,0.0,0.3,0.3,0 <10 ha
1999-01-01,Pla de l'Estany,9.0,3.4,0.2,3.6,0 <10 ha
1999-01-01,Priorat,9.0,37.9,11.8,49.7,10 > 100 ha
1999-01-01,Ribera d'Ebre,16.0,18.8,16.5,35.4,10 > 100 ha
1999-01-01,Ripollès,12.0,9.2,0.7,9.9,0 <10 ha
1999-01-01,Segarra,2.0,0.1,1.8,1.9,0 <10 ha
1999-01-01,Segrià,11.0,7.0,2.4,9.4,0 <10 ha
1999-01-01,Selva,47.0,7.2,0.3,7.5,0 <10 ha
1999-01-01,Solsonès,11.0,5.7,2.6,8.3,0 <10 ha
1999-01-01,Tarragonès,8.0,0.9,9.6,10.5,10 > 100 ha
1999-01-01,Terra Alta,15.0,10.6,2.9,13.5,10 > 100 ha
1999-01-01,Urgell,4.0,1.5,1.2,2.7,0 <10 ha
