subregion,forest_wood_Ha,forest_scrub_Ha,forest_other_Ha,areas_without_vegetation_Ha,rainfed_crops_Ha,irrigated_crops_Ha,urban_Ha,year
Alt Camp,10148,8817,3486.0,4139,19691,3980.0,3509,2001-01-01
Alt Empordà,38265,20527,21623.0,3228,24627,13513.0,13485,2001-01-01
Alt Penedès,15660,12125,214.0,3587,23304,166.0,4264,2001-01-01
Alt Urgell,43256,27518,52552.0,14312,3667,1890.0,1505,2001-01-01
Alta Ribagorça,10708,7156,23774.0,560,236,89.0,267,2001-01-01
Anoia,29871,9483,7549.0,3737,31128,467.0,4515,2001-01-01
Bages,59806,20676,11462.0,4021,25038,1272.0,7685,2001-01-01
Baix Camp,15057,13961,4716.0,5512,7426,15932.0,7126,2001-01-01
Baix Ebre,16182,15752,9668.0,4959,32997,17022.0,3360,2001-01-01
Baix Empordà,19453,12158,4488.0,2785,13216,9051.0,9109,2001-01-01
Baix Llobregat,12305,5741,1356.0,1529,2437,2994.0,22218,2001-01-01
Baix Penedès,4999,9179,85.0,1221,8448,304.0,5344,2001-01-01
Barcelonès,1855,143,463.0,183,163,182.0,11381,2001-01-01
Berguedà,42362,8015,42160.0,8823,10078,104.0,6968,2001-01-01
Cerdanya,19217,2508,25189.0,3169,2016,977.0,1909,2001-01-01
Conca de Barberà,11752,14633,4610.0,5072,27164,373.0,1416,2001-01-01
Garraf,4479,2523,3525.0,2557,1926,171.0,3279,2001-01-01
Garrigues,13236,12077,2933.0,2039,37656,10616.0,1233,2001-01-01
Garrotxa,32160,14288,11600.0,4547,7737,1139.0,1959,2001-01-01
Gironès,19691,12830,1492.0,2785,11585,4770.0,4447,2001-01-01
Maresme,17252,1994,3099.0,2339,1458,3516.0,10092,2001-01-01
Montsià,9885,9702,3352.0,5203,23787,19717.0,2144,2001-01-01
Noguera,15372,60268,17253.0,6703,51887,23067.0,3790,2001-01-01
Osona,54101,14837,13022.0,7288,30398,424.0,6200,2001-01-01
Pallars Jussà,29091,35228,41554.0,7157,17528,2993.0,859,2001-01-01
Pallars Sobirà,61846,2935,55085.0,13192,2161,289.0,382,2001-01-01
Pla d'Urgell,11,0,520.0,372,955,26067.0,2645,2001-01-01
Pla de l'Estany,10820,2945,898.0,987,8219,962.0,1489,2001-01-01
Priorat,8668,11490,6069.0,5459,13799,2163.0,2022,2001-01-01
Ribera d'Ebre,22953,15956,5241.0,8903,21654,6850.0,1043,2001-01-01
Ripollès,39566,3043,45666.0,4763,1620,73.0,1059,2001-01-01
Segarra,3897,15086,2901.0,521,46979,135.0,2751,2001-01-01
Segrià,5710,9741,10436.0,1921,40320,66690.0,4902,2001-01-01
Selva,61536,13408,3183.0,3392,7125,4351.0,6651,2001-01-01
Solsonès,47354,10210,20453.0,3228,17582,75.0,1278,2001-01-01
Tarragonès,3322,3577,318.0,1945,8445,4232.0,9901,2001-01-01
Terra Alta,17554,15765,3317.0,4326,32071,435.0,742,2001-01-01
Urgell,2191,2755,2467.0,1107,31405,15590.0,2415,2001-01-01
Aran,10500,4986,37603.0,9630,55,0.0,516,2001-01-01
Vallès Occidental,28478,4705,786.0,483,4913,567.0,18368,2001-01-01
Vallès Oriental,42249,9395,5734.0,3291,8299,2904.0,13298,2001-01-01
Alt Camp,10148,8817,3486.0,4139,19699,3980.0,3501,2002-01-01
Alt Empordà,38292,20573,22787.0,3301,23716,13123.0,14068,2002-01-01
Alt Penedès,15660,12136,244.0,3583,23228,161.0,4308,2002-01-01
Alt Urgell,43220,27518,52636.0,14312,3685,1824.0,1505,2002-01-01
Alta Ribagorça,10708,7156,20445.0,3888,281,45.0,267,2002-01-01
Anoia,29846,9520,7604.0,3734,30848,464.0,4734,2002-01-01
Bages,60187,20643,10861.0,4044,25142,1346.0,7737,2002-01-01
Baix Camp,14648,13125,5043.0,6023,12788,9802.0,8301,2002-01-01
Baix Ebre,16182,15752,9668.0,4959,32940,17079.0,3360,2002-01-01
Baix Empordà,19388,12218,4488.0,2785,13231,9051.0,9099,2002-01-01
Baix Llobregat,12317,5741,1412.0,1529,2341,2747.0,22493,2002-01-01
Baix Penedès,5113,9183,85.0,1877,7121,381.0,5820,2002-01-01
