subregion,annual_rainfall_mm,relative_humidity_%,wind_avg_speed_ms,wind_dominant_direction,year
Alt Camp,461.0,63.0,1.4,W,2000-01-01
Alt Empordà,542.0,63.0,3.7,NE,2000-01-01
Alt Penedès,338.0,67.0,3.7,NW,2000-01-01
Alt Urgell,555.0,63.0,1.8,SW,2000-01-01
Alta Ribagorça,942.0,72.0,1.3,S,2000-01-01
Anoia,339.0,68.0,2.5,NW,2000-01-01
Bages,601.0,74.0,1.2,S,2000-01-01
Baix Camp,549.0,73.0,3.7,NW,2000-01-01
Baix Ebre,502.0,69.0,4.9,NW,2000-01-01
Baix Empordà,472.0,73.0,2.9,SW,2000-01-01
Baix Llobregat,478.0,66.0,2.0,W,2000-01-01
Baix Penedès,333.0,71.0,2.7,NE,2000-01-01
Barcelonès,351.0,71.0,2.8,NE,2000-01-01
Berguedà,579.0,74.0,1.8,NE,2000-01-01
Cerdanya,502.0,67.45238095238095,1.4,W,2000-01-01
Conca de Barberà,326.0,73.0,3.0,W,2000-01-01
Garraf,376.0,74.0,0.7,SE,2000-01-01
Garrigues,327.0,66.0,3.3,E,2000-01-01
Garrotxa,617.0,81.0,1.3,SW,2000-01-01
Gironès,393.0,72.0,0.9,S,2000-01-01
Maresme,394.0,73.0,2.3,W,2000-01-01
Montsià,472.0,71.0,1.6,NW,2000-01-01
Noguera,611.0,73.0,0.7,N,2000-01-01
Osona,499.0,71.0,1.3,W,2000-01-01
Pallars Jussà,575.0,66.0,1.3,SE,2000-01-01
Pallars Sobirà,590.0,60.0,1.6,SE,2000-01-01
Pla d'Urgell,350.0,74.0,2.7,S,2000-01-01
Pla de l'Estany,356.0,70.0,3.4,SW,2000-01-01
Priorat,711.0,65.0,2.0,W,2000-01-01
Ribera d'Ebre,425.0,69.0,2.7,E,2000-01-01
Ripollès,843.0,77.0,1.6,SW,2000-01-01
Segarra,446.0,68.0,3.3,W,2000-01-01
Segrià,282.0,65.0,2.8,E,2000-01-01
Selva,586.0,75.0,2.1,NW,2000-01-01
Solsonès,508.0,66.0,2.2,SW,2000-01-01
Tarragonès,367.0,73.0,1.8,S,2000-01-01
Terra Alta,441.0,60.0,3.4,W,2000-01-01
Urgell,373.0,69.0,3.7,SW,2000-01-01
Aran,893.0,73.0,2.0,S,2000-01-01
Vallès Occidental,456.0,73.0,1.5,S,2000-01-01
Vallès Oriental,460.0,67.0,1.4,E,2000-01-01
Alt Camp,463.0,69.0,2.7,N,2001-01-01
Alt Empordà,739.0,59.0,3.1,NE,2001-01-01
Alt Penedès,372.0,74.0,2.2,S,2001-01-01
Alt Urgell,462.0,63.0,1.9,SW,2001-01-01
Alta Ribagorça,881.0,72.0,1.3,S,2001-01-01
Anoia,446.0,66.0,2.8,NW,2001-01-01
Bages,389.0,72.0,1.3,S,2001-01-01
Baix Camp,464.0,72.0,4.0,W,2001-01-01
Baix Ebre,468.0,67.0,4.8,NW,2001-01-01
Baix Empordà,525.0,76.0,2.4,S,2001-01-01
Baix Llobregat,443.0,68.0,2.3,W,2001-01-01
Baix Penedès,511.0,70.0,2.8,N,2001-01-01
Barcelonès,363.0,74.0,2.9,NE,2001-01-01
Berguedà,706.0,75.0,1.7,SW,2001-01-01
Cerdanya,433.0,65.0,1.4,W,2001-01-01
Conca de Barberà,338.0,72.0,2.8,W,2001-01-01
Garraf,333.0,69.0,0.9,SW,2001-01-01
Garrigues,317.0,62.0,2.9,NE,2001-01-01
Garrotxa,613.0,76.0,1.5,SW,2001-01-01
Gironès,565.0,69.0,1.1,S,2001-01-01
Maresme,395.0,71.0,2.8,NW,2001-01-01
Montsià,492.0,74.0,2.5,NW,2001-01-01
Noguera,359.0,76.0,1.5,W,2001-01-01
Osona,531.0,72.0,1.3,S,2001-01-01
Pallars Jussà,498.0,67.0,1.7,W,2001-01-01
Pallars Sobirà,650.0,60.0,1.7,SE,2001-01-01
Pla d'Urgell,283.0,72.0,3.0,SW,2001-01-01
Pla de l'Estany,708.5238095238095,73.0,2.6,NW,2001-01-01
Priorat,444.0,66.0,1.8,W,2001-01-01
Ribera d'Ebre,331.0,70.0,2.4,NW,2001-01-01
Ripollès,849.0,76.0,1.5,SW,2001-01-01
Segarra,355.0,69.0,3.0,W,2001-01-01
Segrià,354.0,77.0,1.7,SW,2001-01-01
Selva,493.0,73.0,2.5,NW,2001-01-01
Solsonès,467.0,67.0,2.2,SW,2001-01-01
Tarragonès,529.0,76.0,1.9,NW,2001-01-01
Terra Alta,280.0,59.0,3.1,W,2001-01-01
Urgell,325.0,68.0,3.7,SW,2001-01-01
Aran,846.0,73.0,1.9,S,2001-01-01
Vallès Occidental,450.0,65.0,1.4,W,2001-01-01
Vallès Oriental,428.0,68.0,1.6,E,2001-01-01
Alt Camp,540.0,72.0,2.6,N,2002-01-01
Alt Empordà,571.0,65.0,2.4,NE,2002-01-01
Alt Penedès,744.0,80.0,1.9,NE,2002-01-01
Alt Urgell,720.0,68.0,1.9,SW,2002-01-01
Alta Ribagorça,1032.0,76.0,1.2,S,2002-01-01
Anoia,624.0,76.0,2.9,NW,2002-01-01
Bages,736.0,77.0,1.1,S,2002-01-01
Baix Camp,380.0,70.0,3.7,NW,2002-01-01
Baix Ebre,475.0,71.0,5.0,NW,2002-01-01
Baix Empordà,818.0,80.0,2.1,S,2002-01-01
Baix Llobregat,703.0,74.0,2.1,W,2002-01-01
Baix Penedès,631.0,74.0,2.8,N,2002-01-01
Barcelonès,937.0,72.0,5.1,SW,2002-01-01
Berguedà,858.0,79.0,2.0,SW,2002-01-01
Cerdanya,710.0,72.0,1.2,W,2002-01-01
Conca de Barberà,375.0,72.0,3.1,W,2002-01-01
Garraf,772.0,71.0,1.5,SW,2002-01-01
Garrigues,340.0,65.0,2.9,W,2002-01-01
Garrotxa,1195.0,80.0,1.3,SW,2002-01-01
