subregion,annual_avg_temp,average_maximums,average_minimums,outright_maximum,outright_minimum,year
Alt Camp,16.0,21.3,11.5,36.9,-0.6,2000-01-01
Alt Empordà,17.0,22.5,11.6,36.7,-1.8,2000-01-01
Alt Penedès,17.0,21.6,12.4,37.9,0.2,2000-01-01
Alt Urgell,12.0,19.3,5.6,36.8,-8.4,2000-01-01
Alta Ribagorça,10.0,18.8,3.1,35.0,-10.5,2000-01-01
Anoia,16.0,22.6,10.9,40.2,-2.5,2000-01-01
Bages,14.0,21.3,7.3,38.5,-7.6,2000-01-01
Baix Camp,16.0,21.3,11.8,36.1,-0.5,2000-01-01
Baix Ebre,17.0,22.2,13.2,36.5,-0.3,2000-01-01
Baix Empordà,15.0,17.8,12.7,29.0,0.5,2000-01-01
Baix Llobregat,16.0,22.4,11.6,38.9,-0.8,2000-01-01
Baix Penedès,17.0,22.2,11.6,37.9,-1.0,2000-01-01
Barcelonès,17.0,19.6,14.4,35.7,1.7,2000-01-01
Berguedà,11.0,19.3,4.7,37.6,-9.3,2000-01-01
Cerdanya,10.0,18.7,3.1,34.2,-13.1,2000-01-01
Conca de Barberà,14.0,20.6,8.6,36.9,-4.4,2000-01-01
Garraf,19.0,23.4,16.0,40.0,3.8,2000-01-01
Garrigues,15.0,21.0,10.2,37.1,-7.3,2000-01-01
Garrotxa,14.0,21.4,8.4,39.1,-4.6,2000-01-01
Gironès,16.0,22.4,9.7,36.1,-2.9,2000-01-01
Maresme,17.0,21.1,13.5,37.9,2.4,2000-01-01
Montsià,18.0,22.1,14.2,35.2,1.1,2000-01-01
Noguera,14.0,20.7,8.4,41.4,-6.9,2000-01-01
Osona,13.0,20.3,6.7,38.7,-7.6,2000-01-01
Pallars Jussà,13.0,21.1,6.8,39.2,-8.8,2000-01-01
Pallars Sobirà,13.0,19.7,6.8,36.5,-6.8,2000-01-01
Pla d'Urgell,16.0,22.2,11.4,36.5,-1.4,2000-01-01
Pla de l'Estany,14.0,21.4,7.7,37.5,-6.9,2000-01-01
Priorat,15.0,21.0,10.4,36.2,-4.3,2000-01-01
Ribera d'Ebre,17.0,24.3,10.8,40.0,-7.0,2000-01-01
Ripollès,10.0,17.6,3.8,36.4,-9.9,2000-01-01
Segarra,14.0,19.1,8.5,38.0,-6.4,2000-01-01
Segrià,15.0,23.7,8.6,39.6,-6.7,2000-01-01
Selva,15.0,21.7,8.5,39.3,-3.9,2000-01-01
Solsonès,14.0,20.2,8.1,38.1,-5.1,2000-01-01
Tarragonès,18.0,21.6,13.9,35.7,0.7,2000-01-01
Terra Alta,15.0,19.4,10.5,33.7,-3.5,2000-01-01
