,Fires,Affected area (ha). With trees,Affected area (ha). With scrub,Affected area (ha). Total,Year
Alt Camp,25,117.9,150.1,268,1999
Alt Empordà,50,35.3,168.6,203.8,1999
Alt Penedès,39,33.7,13.8,47.5,1999
Alt Urgell,14,2.3,38.3,40.6,1999
Alta Ribagorça,3,10,18,28,1999
Anoia,34,10.2,2.2,12.4,1999
Bages,33,15.4,8.1,23.5,1999
Baix Camp,15,0.2,6.6,6.7,1999
Baix Ebre,5,26.3,79.4,105.7,1999
Baix Empordà,35,8.6,1.7,10.3,1999
Baix Llobregat,42,12.2,7.4,19.6,1999
Baix Penedès,10,14.7,4.7,19.4,1999
Barcelonès,23,1.5,11.1,12.6,1999
Berguedà,21,3.3,11.7,15.1,1999
Cerdanya,5,0,22.7,22.7,1999
Conca de Barberà,27,8.2,18.8,26.9,1999
Garraf,13,15.1,0,15.1,1999
Garrigues,17,4.1,2.6,6.7,1999
Garrotxa,11,0.7,1.9,2.6,1999
Gironès,32,3.2,2.7,5.9,1999
Maresme,37,2.7,4.6,7.3,1999
Montsià,9,0.6,8.7,9.3,1999
Noguera,31,7.1,13.5,20.6,1999
Osona,19,4.1,1.4,5.5,1999
Pallars Jussà,18,11.1,57.1,68.2,1999
Pallars Sobirà,14,3.3,31.7,35,1999
Pla d'Urgell,1,0,0.3,0.3,1999
Pla de l'Estany,9,3.4,0.2,3.6,1999
Priorat,9,37.9,11.8,49.7,1999
Ribera d'Ebre,16,18.8,16.5,35.4,1999
Ripollès,12,9.2,0.7,9.9,1999
Segarra,2,0.1,1.8,1.9,1999
Segrià,11,7,2.4,9.4,1999
Selva,47,7.2,0.3,7.5,1999
Solsonès,11,5.7,2.6,8.3,1999
Tarragonès,8,0.9,9.6,10.5,1999
Terra Alta,15,10.6,2.9,13.5,1999
Urgell,4,1.5,1.2,2.7,1999
Val d'Aran,3,0.1,3.5,3.6,1999
Vallès Occidental,72,17.5,19.9,37.4,1999
Vallès Oriental,39,18.8,3.7,22.5,1999
Alt Camp,17,233.1,54.8,287.9,2000
Alt Empordà,60,1083.6,4905,5988.6,2000
Alt Penedès,29,262.7,24.8,287.5,2000
Alt Urgell,12,0.4,23.6,24,2000
Alta Ribagorça,7,21.2,243.9,265.1,2000
Anoia,33,12.9,2.9,15.8,2000
Bages,35,10.3,2.1,12.3,2000
Baix Camp,27,306.1,101.4,407.5,2000
Baix Ebre,11,3.1,4.5,7.6,2000
Baix Empordà,44,6.9,0.5,7.4,2000
Baix Llobregat,51,6.3,5,11.3,2000
Baix Penedès,4,0.1,0,0.1,2000
Barcelonès,14,0,5.5,5.6,2000
Berguedà,27,20,6.2,26.2,2000
Cerdanya,4,0.1,0,0.1,2000
Conca de Barberà,19,2,1.4,3.4,2000
Garraf,19,122.2,45.4,167.5,2000
Garrigues,18,37.8,4.6,42.4,2000
Garrotxa,13,2.5,20.3,22.7,2000
Gironès,25,4.8,3.6,8.4,2000
Maresme,31,10.4,3.2,13.6,2000
Montsià,14,4.5,42.4,46.9,2000
Noguera,28,40,5.3,45.3,2000
Osona,24,4.7,4.3,9.1,2000
Pallars Jussà,8,9.9,9.9,19.8,2000
Pallars Sobirà,10,2.3,67.7,69.9,2000
Pla d'Urgell,0,0,0,0,2000
Pla de l'Estany,8,0.3,0,0.3,2000
Priorat,12,2.1,8,10.1,2000
Ribera d'Ebre,15,13.4,34.3,47.7,2000
Ripollès,8,20.6,32,52.6,2000
Segarra,0,0,0,0,2000
Segrià,10,11.5,16.8,28.3,2000
Selva,63,38.5,5,43.6,2000
Solsonès,12,1.1,0,1.1,2000
Tarragonès,8,25.2,1.4,26.6,2000
Terra Alta,8,285.6,7.7,293.2,2000
Urgell,6,1.2,3,4.2,2000
Val d'Aran,3,0,0.7,0.7,2000
Vallès Occidental,37,28.5,7.5,36.1,2000
Vallès Oriental,16,1.6,0.5,2.1,2000
Alt Camp,6,3.8,2.6,6.4,2001
Alt Empordà,36,164.7,1453.6,1618.4,2001
Alt Penedès,28,26.7,2.4,29,2001
Alt Urgell,7,0.6,1.4,1.9,2001
Alta Ribagorça,4,0,9.3,9.3,2001
Anoia,32,59.7,9.1,68.8,2001
Bages,64,36.9,0.8,37.7,2001
Baix Camp,10,0.1,2.9,3,2001
Baix Ebre,4,3.5,1.4,4.9,2001
Baix Empordà,67,310.7,119.2,429.9,2001
Baix Llobregat,35,62.6,41.4,104,2001
Baix Penedès,15,2.6,1.4,4,2001
Barcelonès,27,32.6,102.7,135.3,2001
Berguedà,17,2.9,0.9,3.8,2001
Cerdanya,2,0,0,0,2001
Conca de Barberà,18,6.3,5.6,11.9,2001
Garraf,20,1.5,0,1.5,2001
Garrigues,17,18.3,60.5,78.8,2001
Garrotxa,5,1.3,0.3,1.5,2001
Gironès,24,7.2,1.1,8.3,2001
Maresme,37,30.5,15.3,45.8,2001
Montsià,9,0,9,9,2001
Noguera,18,119.1,100.4,219.4,2001
Osona,14,0.6,0.6,1.2,2001
Pallars Jussà,7,1.3,0.3,1.6,2001
Pallars Sobirà,6,1,17.5,18.5,2001
Pla d'Urgell,0,0,0,0,2001
Pla de l'Estany,19,19,1.6,20.6,2001
Priorat,13,3.6,1.1,4.7,2001
Ribera d'Ebre,9,1,0.4,1.4,2001
Ripollès,2,0,0.7,0.7,2001
Segarra,4,21.5,2,23.5,2001
Segrià,10,18.6,4.2,22.8,2001
Selva,46,7,0.9,7.8,2001
Solsonès,7,0.6,2.4,3,2001
Tarragonès,4,3.3,2.2,5.5,2001
Terra Alta,8,4.7,10.1,14.8,2001
Urgell,1,0,0.1,0.1,2001
Val d'Aran,3,0,5,5,2001
Vallès Occidental,42,3,9.9,12.9,2001
Vallès Oriental,26,16.6,1.6,18.2,2001
Alt Camp,9,2.7,7,9.7,2002
Alt Empordà,25,4.1,44.4,48.5,2002
Alt Penedès,20,6.8,4,10.8,2002
Alt Urgell,15,10.7,11,21.7,2002
Alta Ribagorça,8,17.1,25.8,42.9,2002
Anoia,31,21.2,8.4,29.6,2002
Bages,39,9.1,3.8,12.9,2002
Baix Camp,13,0.8,11.7,12.5,2002
Baix Ebre,12,18.1,14,32.1,2002
Baix Empordà,30,4.1,1.4,5.5,2002
Baix Llobregat,20,1.8,6.9,8.6,2002
Baix Penedès,9,1,0.7,1.7,2002
Barcelonès,11,1.1,2.3,4.2,2002
Berguedà,9,2,0.3,2.3,2002
Cerdanya,8,0.1,4.6,4.7,2002
Conca de Barberà,12,506.4,37.9,544.4,2002
Garraf,3,0,0.1,0.1,2002
Garrigues,23,8.9,6.4,15.3,2002
Garrotxa,8,0.6,1,1.6,2002
Gironès,11,1.7,0.2,1.9,2002
Maresme,12,0.1,0.3,0.4,2002
Montsià,5,1,2.3,3.3,2002
Noguera,24,14.6,15,29.7,2002
Osona,6,1,0.1,1.2,2002
Pallars Jussà,9,23.6,2.1,25.7,2002
Pallars Sobirà,10,40.6,31.9,72.5,2002
Pla d'Urgell,0,0,0,0,2002
Pla de l'Estany,10,1.1,0.2,1.3,2002
Priorat,11,6.4,2.8,9.2,2002
Ribera d'Ebre,14,44,1.5,45.5,2002
Ripollès,4,9.2,0.8,10,2002
Segarra,5,0.6,5.3,5.9,2002
Segrià,14,42.2,5.2,47.4,2002
Selva,14,1.7,0,1.7,2002
