Subregion,Forest area. Woods (Ha),Forest area. Scrubland (Ha),Forest area. Others (Ha),No vegetation (Ha),Cropland. Dry farming (Ha),Cropland. Irrigated (Ha),Urban and others (1) (Ha),year
Alt Camp,10148,8817,3486,4139,19691,3980,3509,2001
Alt Empordà,38265,20527,21623,3228,24627,13513,13485,2001
Alt Penedès,15660,12125,214,3587,23304,166,4264,2001
Alt Urgell,43256,27518,52552,14312,3667,1890,1505,2001
Alta Ribagorça,10708,7156,23774,560,236,89,267,2001
Anoia,29871,9483,7549,3737,31128,467,4515,2001
Bages,59806,20676,11462,4021,25038,1272,7685,2001
Baix Camp,15057,13961,4716,5512,7426,15932,7126,2001
Baix Ebre,16182,15752,9668,4959,32997,17022,3360,2001
Baix Empordà,19453,12158,4488,2785,13216,9051,9109,2001
Baix Llobregat,12305,5741,1356,1529,2437,2994,22218,2001
Baix Penedès,4999,9179,85,1221,8448,304,5344,2001
Barcelonès,1855,143,463,183,163,182,11381,2001
Berguedà,42362,8015,42160,8823,10078,104,6968,2001
Cerdanya,19217,2508,25189,3169,2016,977,1909,2001
Conca de Barberà,11752,14633,4610,5072,27164,373,1416,2001
Garraf,4479,2523,3525,2557,1926,171,3279,2001
Garrigues,13236,12077,2933,2039,37656,10616,1233,2001
Garrotxa,32160,14288,11600,4547,7737,1139,1959,2001
Gironès,19691,12830,1492,2785,11585,4770,4447,2001
Maresme,17252,1994,3099,2339,1458,3516,10092,2001
Montsià,9885,9702,3352,5203,23787,19717,2144,2001
Noguera,15372,60268,17253,6703,51887,23067,3790,2001
Osona,54101,14837,13022,7288,30398,424,6200,2001
Pallars Jussà,29091,35228,41554,7157,17528,2993,859,2001
Pallars Sobirà,61846,2935,55085,13192,2161,289,382,2001
Pla d'Urgell,11,0,520,372,955,26067,2645,2001
Pla de l'Estany,10820,2945,898,987,8219,962,1489,2001
Priorat,8668,11490,6069,5459,13799,2163,2022,2001
