,Stations,Altitude (m),Annual average,Average maximums,Average minimums,Outright maximum,Outright minimum,Year
Alt Camp,Alcover,246,16,21.3,11.5,36.9,-0.6,2000
Alt Empordà,Roses,24,17,22.5,11.6,36.7,-1.8,2000
Alt Penedès,Font-rubí,409,17,21.6,12.4,37.9,0.2,2000
Alt Urgell,la Seu d'Urgell,849,12,19.3,5.6,36.8,-8.4,2000
Alta Ribagorça,el Pont de Suert,824,10,18.8,3.1,35,-10.5,2000
Anoia,els Hostalets de Pierola,312,16,22.6,10.9,40.2,-2.5,2000
Bages,Sant Salvador de Guardiola,349,14,21.3,7.3,38.5,-7.6,2000
Baix Camp,Botarell,231,16,21.3,11.8,36.1,-0.5,2000
Baix Ebre,el Perelló,179,17,22.2,13.2,36.5,-0.3,2000
Baix Empordà,Begur,198,15,17.8,12.7,29,0.5,2000
Baix Llobregat,Vallirana,220,16,22.4,11.6,38.9,-0.8,2000
Baix Penedès,el Vedrell,60,17,22.2,11.6,37.9,-1,2000
Barcelonès,Barcelona (Ciutadella),8,17,19.6,14.4,35.7,1.7,2000
Berguedà,Guardiola de Berguedà,720,11,19.3,4.7,37.6,-9.3,2000
Cerdanya,Bellver de Cerdanya,1043,10,18.7,3.1,34.2,-13.1,2000
Conca de Barberà,l'Espluga de Francolí,441,14,20.6,8.6,36.9,-4.4,2000
Garraf,Vilanova i la Geltrú,14,19,23.4,16,40,3.8,2000
Garrigues,Juneda,275,15,21,10.2,37.1,-7.3,2000
Garrotxa,Olot,422,14,21.4,8.4,39.1,-4.6,2000
Gironès,Sarrià de Ter,66,16,22.4,9.7,36.1,-2.9,2000
Maresme,Vilassar de Mar,45,17,21.1,13.5,37.9,2.4,2000
Montsià,Amposta,7,18,22.1,14.2,35.2,1.1,2000
Noguera,Vilanova de Meià,590,14,20.7,8.4,41.4,-6.9,2000
Osona,Vic,498,13,20.3,6.7,38.7,-7.6,2000
Pallars Jussà,la Pobla de Segur,513,13,21.1,6.8,39.2,-8.8,2000
Pallars Sobirà,Sort,682,13,19.7,6.8,36.5,-6.8,2000
Pla d'Urgell,Castellnou de Seana,264,16,22.2,11.4,36.5,-1.4,2000
Pla de l'Estany,Banyoles,157,14,21.4,7.7,37.5,-6.9,2000
Priorat,Falset,350,15,21,10.4,36.2,-4.3,2000
Ribera d'Ebre,Vinebre,48,17,24.3,10.8,40,-7,2000
Ripollès,Sant Pau de Segúries,851,10,17.6,3.8,36.4,-9.9,2000
Segarra,Cervera,558,14,19.1,8.5,38,-6.4,2000
Segrià,Torres de Segre,144,15,23.7,8.6,39.6,-6.7,2000
Selva,Santa Coloma de Farners,167,15,21.7,8.5,39.3,-3.9,2000
Solsonès,Clariana de Cardener,693,14,20.2,8.1,38.1,-5.1,2000
Tarragonès,Tarragona,8,18,21.6,13.9,35.7,0.7,2000
Terra Alta,Gandesa,363,15,19.4,10.5,33.7,-3.5,2000
Urgell,Tàrrega,420,14,19.7,9.4,38.1,-4.8,2000
Val d'Aran,Vielha e Mijaran,997,10,17.2,5.3,35.8,-8.5,2000
Vallès Occidental,Vacarisses,343,14,20.6,7.7,37.4,-7.7,2000
Vallès Oriental,Montmeló,75,14,20.5,7.7,36.7,-2.8,2000
Alt Camp,Vila-rodona,290,16,22,11,38.5,-3.1,2001
Alt Empordà,Roses,24,17,23.4,12,38.9,-5.9,2001
Alt Penedès,la Granada,238,15,21.9,9.7,38.2,-5.3,2001
Alt Urgell,la Seu d'Urgell,849,12,19.4,5.7,38.2,-13.1,2001
Alta Ribagorça,el Pont de Suert,824,10,18.8,3.1,36.3,-16.4,2001
Anoia,els Hostalets de Pierola,312,16,22.6,11.1,39.3,-6.7,2001
Bages,Sant Salvador de Guardiola,349,14,21.8,7.6,40.1,-13.2,2001
Baix Camp,Botarell,231,16,21.4,11.7,35.2,-4.2,2001
Baix Ebre,el Perelló,179,17,22.4,13.1,36,-5.3,2001
Baix Empordà,la Bisbal d'Empordà,29,16,23.3,9.6,40.1,-7,2001
