,Year,Subregion,Cuty,TOTAL,traffic accidents,Alerts,Other alerts,Assist_ Techn_ urg_,Assist_Tecn_ not urg_,Explosion/Collapse,Building fires,Home fires,Industrial fires,Various fires,Information  M_P,Information incidents,Smells,Animal rescue,Goods rescue,People rescue,Use of air means,Simulacrum,Veget_ agricul_ land,Veget_ forest_land,Veget_ urban_land
0,2007.0,Fora de Catalunya,Fora de Catalunya,55,6,2.0,6.0,1,18,,,1,,1,,1.0,,,,5,2,,2,10,
1,2007.0,Alt Camp,Aiguamúrcia,25,1,,,2,11,,1.0,,,,,,,,,,,1.0,2,5,2
2,2007.0,Alt Camp,Alcover,114,19,,,16,23,,2.0,5,3.0,14,,,,1,,1,,2.0,19,7,2
3,2007.0,Alt Camp,Alió,17,8,,,2,,,,,,3,,,,,,,,1.0,1,1,1
4,2007.0,Alt Camp,Bràfim,18,5,,,3,1,,,1,,5,,,,,,,,,2,1,
5,2007.0,Alt Camp,Cabra del Camp,32,4,,,6,5,,,,,1,,,,,,1,1,,2,12,
6,2007.0,Alt Camp,Figuerola del Camp,5,,,,1,,,,,,,,,,,,,,,4,,
7,2007.0,Alt Camp,Garidells,4,2,,,,,,,,,1,,,,,,,,,,1,
8,2007.0,Alt Camp,Masó,14,3,,,,,,,,,1,,,,,,,,,10,,
9,2007.0,Alt Camp,Milà,4,,,,,,,,,,1,,,1.0,,,,,,2,,
10,2007.0,Alt Camp,Montferri,10,1,,,1,,,,,,,,,,1,,,,1.0,4,2,
11,2007.0,Alt Camp,Mont-ral,9,,,,1,5,,,1,,,,,,,,1,,,1,,
12,2007.0,Alt Camp,Nulles,20,1,,,1,,,,,,4,,,,,,,,,8,3,3
13,2007.0,Alt Camp,Pla de Santa Maria,49,10,,,7,10,,,,,10,,,,,,,,1.0,7,2,2
14,2007.0,Alt Camp,Pont d'Armentera,11,1,,,1,5,,,,,,,,,,,2,,,,1,1
15,2007.0,Alt Camp,Puigpelat,14,3,,,1,,,,2,,3,,,,1,,2,,,1,1,
16,2007.0,Alt Camp,Querol,39,3,,,2,29,,,,,1,,,,,,1,,,,3,
17,2007.0,Alt Camp,Riba,13,2,,,2,6,,,,,1,,,,,,2,,,,,
18,2007.0,Alt Camp,Rodonyà,12,4,,,,1,,,,,4,,,,,,,,,1,1,1
19,2007.0,Alt Camp,Rourell,5,,,,,,,,,1.0,1,,,,,,,,,1,1,1
20,2007.0,Alt Camp,Vallmoll,32,9,,,,,,,,1.0,3,,,,,,2,,,9,1,7
21,2007.0,Alt Camp,Valls,437,50,2.0,,108,34,1.0,1.0,11,2.0,98,,,1.0,9,,20,,1.0,44,12,43
22,2007.0,Alt Camp,Vilabella,18,4,,,1,,,1.0,1,,4,,,,,,,,,4,2,1
23,2007.0,Alt Camp,Vila-rodona,55,11,,1.0,5,19,,,,,5,,,,,,,,,7,5,2
24,2007.0,Alt Empordà,Agullana,46,10,,,1,28,,,1,,3,,,,1,,,,,,2,
25,2007.0,Alt Empordà,Albanyà,7,,,,,2,,,,,1,,,,,,4,,,,,
26,2007.0,Alt Empordà,Armentera,11,3,,,,1,,,1,,1,,,,1,,1,,,3,,
27,2007.0,Alt Empordà,Avinyonet de Puigventós,13,7,,,2,1,,1.0,,1.0,1,,,,,,,,,,,
28,2007.0,Alt Empordà,Bàscara,60,23,,,1,15,,,1,,11,,,,,,,4,,3,2,
29,2007.0,Alt Empordà,Biure,16,10,,,1,2,,,,,2,,,,,,,,,,1,
30,2007.0,Alt Empordà,Boadella d'Empordà,12,2,,,,7,,,,,,,,,,,1,,,,2,
31,2007.0,Alt Empordà,Borrassà,19,12,,,1,1,,,1,,1,,,,,,,,,2,1,
32,2007.0,Alt Empordà,Cabanelles,11,2,,,,4,,,,,1,,,,2,,,,,,2,
33,2007.0,Alt Empordà,Cabanes,19,7,,,,,,,,1.0,6,,,,,,,,,4,1,
34,2007.0,Alt Empordà,Cadaqués,79,7,,,7,36,,1.0,2,,15,,,,1,,4,,,,4,2
35,2007.0,Alt Empordà,Cantallops,35,5,,,1,27,,,,,,,,,,,,,,,2,
36,2007.0,Alt Empordà,Capmany,59,25,,,1,22,,,,,4,,,,1,,1,,1.0,,4,
37,2007.0,Alt Empordà,Castelló d'Empúries,199,57,,,21,23,,6.0,10,,36,,,2.0,5,2.0,22,3,3.0,3,3,3
38,2007.0,Alt Empordà,Cistella,13,,,,1,7,,,,,2,,,,,,,1,,,2,
39,2007.0,Alt Empordà,Colera,27,5,,,3,9,,,,,4,,,,1,,1,,,,4,
40,2007.0,Alt Empordà,Darnius,26,8,,1.0,1,12,,,,,2,,,,,,2,,,,,
41,2007.0,Alt Empordà,Escala,196,18,,,24,51,,3.0,8,,48,,,2.0,12,1.0,12,1,1.0,4,8,3
42,2007.0,Alt Empordà,Espolla,12,2,,,1,3,,,,,1,,,,,,2,,,1,2,
43,2007.0,Alt Empordà,Far d'Empordà,14,7,,,2,,,,,,2,,,,,,,,,3,,
44,2007.0,Alt Empordà,Figueres,657,106,16.0,1.0,128,116,2.0,8.0,38,1.0,161,,,6.0,7,,36,2,4.0,14,3,8
45,2007.0,Alt Empordà,Fortià,14,4,,,,,,1.0,,2.0,4,,,,,,,,,3,,
46,2007.0,Alt Empordà,Garrigàs,14,6,,,1,,,,,,4,,,,,,,,,,3,
