,Year,Subregion,City,Total activities,non-urgent activity,technical assistance,preventive device,dangerous leaks,urban fire,vegetation fire,mobility,practicesal,rescues,simulacrum,technical support
0,2009,Fora de Catalunya,Fora de Catalunya,27.0,1.0,1.0,,,5.0,8.0,4.0,2.0,3.0,1.0,2.0
1,2009,Alt Camp,Aiguamúrcia,49.0,11.0,9.0,2.0,,5.0,14.0,7.0,,1.0,,
2,2009,Alt Camp,Alcover,122.0,9.0,26.0,13.0,4.0,21.0,24.0,21.0,,4.0,,
3,2009,Alt Camp,Alió,20.0,,4.0,,,4.0,3.0,9.0,,,,
4,2009,Alt Camp,Bràfim,4.0,,2.0,,,,1.0,1.0,,,,
5,2009,Alt Camp,Cabra del Camp,49.0,7.0,29.0,,,1.0,6.0,3.0,1.0,2.0,,
6,2009,Alt Camp,Figuerola del Camp,14.0,8.0,2.0,,,,3.0,1.0,,,,
7,2009,Alt Camp,Garidells,5.0,,,,,1.0,3.0,1.0,,,,
8,2009,Alt Camp,Masó,5.0,,1.0,,,1.0,2.0,,,1.0,,
9,2009,Alt Camp,Milà,6.0,,1.0,,,2.0,2.0,,,1.0,,
10,2009,Alt Camp,Montferri,18.0,3.0,2.0,1.0,,2.0,6.0,2.0,1.0,,1.0,
11,2009,Alt Camp,Mont-ral,10.0,1.0,1.0,,,1.0,2.0,1.0,1.0,3.0,,
12,2009,Alt Camp,Nulles,15.0,,2.0,,,1.0,11.0,1.0,,,,
13,2009,Alt Camp,Pla de Santa Maria,47.0,4.0,8.0,1.0,,8.0,12.0,12.0,2.0,,,
14,2009,Alt Camp,Pont d'Armentera,11.0,1.0,5.0,,,,1.0,2.0,,2.0,,
15,2009,Alt Camp,Puigpelat,15.0,3.0,2.0,,,1.0,4.0,2.0,,1.0,2.0,
16,2009,Alt Camp,Querol,23.0,1.0,9.0,,,3.0,2.0,3.0,,5.0,,
17,2009,Alt Camp,Riba,21.0,6.0,3.0,,,,3.0,4.0,1.0,3.0,1.0,
18,2009,Alt Camp,Rodonyà,14.0,1.0,1.0,,1.0,3.0,4.0,4.0,,,,
19,2009,Alt Camp,Rourell,3.0,,,,,1.0,1.0,1.0,,,,
20,2009,Alt Camp,Vallmoll,22.0,2.0,5.0,,,5.0,5.0,4.0,,1.0,,
21,2009,Alt Camp,Valls,401.0,45.0,102.0,21.0,3.0,81.0,63.0,49.0,4.0,30.0,3.0,
22,2009,Alt Camp,Vilabella,12.0,,,,,5.0,5.0,1.0,,1.0,,
23,2009,Alt Camp,Vila-rodona,59.0,16.0,7.0,3.0,1.0,3.0,12.0,7.0,5.0,4.0,,1.0
24,2009,Alt Empordà,Agullana,48.0,37.0,1.0,,,2.0,2.0,6.0,,,,
25,2009,Alt Empordà,Albanyà,7.0,2.0,,,,,,,1.0,4.0,,
26,2009,Alt Empordà,Armentera,9.0,5.0,,,,,2.0,2.0,,,,
27,2009,Alt Empordà,Avinyonet de Puigventós,16.0,4.0,,,,6.0,3.0,3.0,,,,
28,2009,Alt Empordà,Bàscara,222.0,43.0,3.0,125.0,,5.0,2.0,32.0,12.0,,,
29,2009,Alt Empordà,Biure,21.0,5.0,2.0,1.0,,,2.0,9.0,,2.0,,
30,2009,Alt Empordà,Boadella d'Empordà,8.0,3.0,,,,1.0,1.0,2.0,1.0,,,
31,2009,Alt Empordà,Borrassà,13.0,1.0,1.0,,,2.0,1.0,6.0,,2.0,,
32,2009,Alt Empordà,Cabanelles,69.0,58.0,1.0,3.0,,2.0,,5.0,,,,
33,2009,Alt Empordà,Cabanes,12.0,2.0,,,1.0,2.0,3.0,4.0,,,,
34,2009,Alt Empordà,Cadaqués,106.0,53.0,8.0,,2.0,12.0,5.0,11.0,1.0,14.0,,
35,2009,Alt Empordà,Cantallops,38.0,34.0,1.0,,,,2.0,1.0,,,,
36,2009,Alt Empordà,Capmany,55.0,37.0,1.0,,,2.0,3.0,12.0,,,,
37,2009,Alt Empordà,Castelló d'Empúries,205.0,28.0,11.0,4.0,2.0,62.0,20.0,44.0,1.0,30.0,1.0,2.0
38,2009,Alt Empordà,Cistella,5.0,1.0,,,,2.0,1.0,,,1.0,,
39,2009,Alt Empordà,Colera,34.0,20.0,,,1.0,3.0,1.0,5.0,,4.0,,
40,2009,Alt Empordà,Darnius,24.0,10.0,2.0,,,2.0,3.0,3.0,2.0,2.0,,
41,2009,Alt Empordà,Escala,288.0,101.0,25.0,2.0,3.0,58.0,12.0,26.0,20.0,40.0,1.0,
42,2009,Alt Empordà,Espolla,19.0,11.0,,1.0,,1.0,3.0,,,2.0,1.0,
43,2009,Alt Empordà,Far d'Empordà,11.0,1.0,1.0,,,1.0,3.0,4.0,,1.0,,
