,DATE OF FIRE,SUBREGION ID,SUBREGION,CITY ID,CITY,HA WOODED,HA NOT WOODED,HA NO FOREST,HA FOREST
0,11/01/2011,8,Baix Camp,431299,Riudoms,0.0,0.2,0.0,0.2
1,13/01/2011,37,Terra Alta,430483,Corbera d'Ebre,0.2,0.0,0.0,0.2
2,14/01/2011,2,Alt Empordà,170545,Colera,0.01,0.0,0.0,0.01
3,16/01/2011,24,Osona,82802,Tavertet,0.0,0.02,0.0,0.02
4,16/01/2011,19,Garrotxa,171498,Riudaura,0.0,0.43,0.0,0.43
5,16/01/2011,6,Anoia,81022,Igualada,0.0,0.02,0.0,0.02
6,16/01/2011,22,Montsià,430629,Freginals,0.0,0.0,0.0,0.0
7,18/01/2011,2,Alt Empordà,170622,"Escala, l'",0.0,0.8,0.0,0.8
8,18/01/2011,9,Baix Ebre,431554,Tortosa,0.0,0.0,0.0,0.0
9,20/01/2011,4,Alt Urgell,251850,Ribera d'Urgellet,0.0,0.9,0.0,0.9
10,21/01/2011,40,Vallès Occidental,82055,Sant Cugat del Vallès,0.0,0.01,0.0,0.01
11,22/01/2011,2,Alt Empordà,171788,Sant Pere Pescador,0.0,0.0,0.0,0.0
12,22/01/2011,12,Baix Penedès,430901,"Montmell, el",1.18,0.0,0.0,1.18
13,22/01/2011,8,Baix Camp,430115,Almoster,0.0,3.08,0.0,3.08
14,23/01/2011,2,Alt Empordà,170470,Castelló d'Empúries,0.0,0.2,0.0,0.2
15,23/01/2011,24,Osona,81290,Muntanyola,0.0,0.04,0.0,0.04
16,24/01/2011,2,Alt Empordà,170307,Cabanes,0.4,0.1,0.0,0.5
17,24/01/2011,20,Gironès,171637,Sant Gregori,0.44,0.0,0.0,0.44
18,24/01/2011,41,Vallès Oriental,80885,"Garriga, la",0.0,0.18,0.0,0.18
19,24/01/2011,30,Ribera d'Ebre,431212,Rasquera,0.28,0.0,0.0,0.28
20,25/01/2011,19,Garrotxa,171498,Riudaura,0.0,0.07,0.0,0.07
21,25/01/2011,1,Alt Camp,430982,Nulles,0.5,0.15,0.0,0.65
22,26/01/2011,2,Alt Empordà,171582,Sant Climent Sescebes,0.0,0.02,0.0,0.02
23,26/01/2011,34,Selva,171501,Riudellots de la Selva,0.01,0.0,0.0,0.01
24,26/01/2011,41,Vallès Oriental,89024,Vilanova del Vallès,0.02,0.0,0.0,0.02
25,26/01/2011,39,Aran,252430,Vielha e Mijaran,0.7,9.8,0.0,10.5
26,26/01/2011,33,Segrià,251023,"Granja d'Escarp, la",0.0,0.06,0.0,0.06
27,27/01/2011,26,Pallars Sobirà,252094,Sort,0.0,0.03,0.0,0.03
28,27/01/2011,38,Urgell,259025,Sant Martí de Riucorb,0.0,1.0,1.5,1.0
29,03/02/2011,2,Alt Empordà,170669,Figueres,0.0,0.01,0.0,0.01
30,03/02/2011,41,Vallès Oriental,81810,"Roca del Vallès, la",0.08,0.0,0.0,0.08
31,03/02/2011,11,Baix Llobregat,80765,Esparreguera,0.0,0.05,0.0,0.05
32,03/02/2011,38,Urgell,252173,Tàrrega,0.0,0.9,0.0,0.9
33,03/02/2011,9,Baix Ebre,430136,"Ametlla de Mar, l'",0.0,0.15,0.0,0.15
34,04/02/2011,4,Alt Urgell,259062,"Valls d'Aguilar, les",0.0,0.32,0.0,0.32
35,04/02/2011,25,Pallars Jussà,252347,Tremp,0.0,3.86,4.43,3.86
36,05/02/2011,6,Anoia,81764,Pujalt,0.3,0.0,0.0,0.3
37,06/02/2011,21,Maresme,81555,Palafolls,0.0,0.0,0.0,0.0
38,06/02/2011,26,Pallars Sobirà,252094,Sort,0.15,0.15,0.0,0.3
39,07/02/2011,12,Baix Penedès,430167,"Arboç, l'",0.05,0.0,0.0,0.05
40,08/02/2011,38,Urgell,252424,Verdú,0.0,0.23,0.0,0.23
41,09/02/2011,10,Baix Empordà,172095,Vall-llobrega,0.14,0.0,0.0,0.14
42,09/02/2011,4,Alt Urgell,250306,"Pont de Bar, el",0.0,0.5,0.0,0.5
43,09/02/2011,26,Pallars Sobirà,251266,Llavorsí,0.0,2.0,0.0,2.0
44,10/02/2011,24,Osona,81516,Oristà,0.4,0.0,0.0,0.4
45,10/02/2011,40,Vallès Occidental,81846,Rubí,0.0,0.27,0.0,0.27
46,10/02/2011,11,Baix Llobregat,81141,Martorell,0.0,0.02,0.9,0.02
47,10/02/2011,6,Anoia,81614,Piera,0.05,0.0,0.0,0.05
48,10/02/2011,7,Bages,80023,Aguilar de Segarra,0.0,0.13,0.0,0.13
